period,Date,Retail Sales,Seasonal Factor,Seaonal adj sales
1,Jan-92,19224,0.881817336,21800.43327
2,Feb-92,18162,0.838895957,21649.88382
3,Mar-92,23416,0.994102207,23554.92206
4,Apr-92,22381,1.018703485,21970.08288
5,May-92,22094,1.006446955,21952.47338
6,Jun-92,19589,0.944858481,20732.2053
7,Jul-92,19835,0.946181762,20963.20262
8,Aug-92,21456,1.047968597,20473.89594
9,Sep-92,20594,1.089502001,18902.21402
10,Oct-92,28091,1.293951977,21709.46101
11,Nov-92,25930,1.000018746,25929.51391
12,Dec-92,25162,0.937552495,26837.96389
13,Jan-93,26348,0.881817336,29879.2039
14,Feb-93,22874,0.838895957,27266.79014
15,Mar-93,25245,0.994102207,25394.77313
16,Apr-93,26315,1.018703485,25831.85429
17,May-93,25829,1.006446955,25663.54825
18,Jun-93,21454,0.944858481,22706.04587
19,Jul-93,23479,0.946181762,24814.4711
20,Aug-93,26982,1.047968597,25746.9547
21,Sep-93,29193,1.089502001,26794.81081
22,Oct-93,30386,1.293951977,23483.09716
23,Nov-93,22705,1.000018746,22704.57437
24,Dec-93,20439,0.937552495,21800.3793
25,Jan-94,27841,0.881817336,31572.29831
26,Feb-94,28538,0.838895957,34018.52134
27,Mar-94,34314,0.994102207,34517.57754
28,Apr-94,41059,1.018703485,40305.15316
29,May-94,35321,1.006446955,35094.74574
30,Jun-94,33751,0.944858481,35720.69331
31,Jul-94,38627,0.946181762,40824.08004
32,Aug-94,40778,1.047968597,38911.47131
33,Sep-94,37995,1.089502001,34873.73126
34,Oct-94,43267,1.293951977,33437.87154
35,Nov-94,36919,1.000018746,36918.30791
36,Dec-94,38686,0.937552495,41262.75618
37,Jan-95,35728,0.881817336,40516.3275
38,Feb-95,33194,0.838895957,39568.67325
39,Mar-95,38872,0.994102207,39102.61917
40,Apr-95,37026,1.018703485,36346.1994
41,May-95,35480,1.006446955,35252.72724
42,Jun-95,33518,0.944858481,35474.09553
43,Jul-95,31031,0.946181762,32796.02423
44,Aug-95,37831,1.047968597,36099.36415
45,Sep-95,45579,1.089502001,41834.70975
46,Oct-95,54791,1.293951977,42343.92076
47,Nov-95,50474,1.000018746,50473.05381
48,Dec-95,43244,0.937552495,46124.35063
49,Jan-96,40796,0.881817336,46263.54951
50,Feb-96,39871,0.838895957,47527.94394
51,Mar-96,47182,0.994102207,47461.9206
52,Apr-96,46431,1.018703485,45578.52277
53,May-96,52404,1.006446955,52068.31788
54,Jun-96,52344,0.944858481,55398.77249
55,Jul-96,47909,0.946181762,50634.0345
56,Aug-96,51141,1.047968597,48800.1264
57,Sep-96,51889,1.089502001,47626.34666
58,Oct-96,63478,1.293951977,49057.46203
